StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month,,
ANDHRA PRADESH,GUNTUR,0,KHARIF,HORTICULTURE,0,1280,76,ASKED ABOUT THE CONTROL OF RAGI CUT WORM,RECOMMENDED TO SPRAY QUINOLPHOS 2 ML/LIT,2009-11-29T18:08:00,2009,11,,
ANDHRA PRADESH,NELLORE,0,KHARIF,HORTICULTURE,0,Beet Root (Garden Beet/Stock Beet),74,ASKED ABOUT THE SOWING SEASON.,INFORMED TO SOW DURING NOVEMBER.,2009-11-02T12:29:57,2009,11,,
ANDHRA PRADESH,WEST GODAVARI,0,KHARIF,AGRICULTURE,0,1137,3,ASKED ABOUT THE CONTROL OF LEAF FOLDER,RTECOMMENDED TO SPRAY ACEPHATE @ 1.5g/lit OF WATER.,2009-11-02T16:14:39,2009,11,,
ANDHRA PRADESH,KRISHNA,0,KHARIF,HORTICULTURE,0,Citrus,99,ASKED ABOUT THE CONTROL OF FLOWERDROP.,"RECOMMENDED TO APPLY 10 PPM 2,4-D [1 GR/100 LIT WATER]",2009-11-02T16:58:37,2009,11,,
ANDHRA PRADESH,WEST GODAVARI,0,KHARIF,AGRICULTURE,0,1137,2,ASKED ABOUT THE CONTROL OF SHEATH BLIGHT,RECOMMENDED FOR THE APPLICATION OF HEXACONOZOLE 2ML/LTR,2009-11-02T18:16:57,2009,11,,
ANDHRA PRADESH,PRAKASAM,0,KHARIF,AGRICULTURE,0,1137,2,ASKED ABOUT THE CONTROL OF SHEATH ROT.,RECOMMENDED TO SPRAY BENOMIL 1 GR/2 LIT. OR CARBANDAZIM 1 GR/LIT.,2009-11-02T19:23:50,2009,11,,
ANDHRA PRADESH,KRISHNA,0,KHARIF,HORTICULTURE,0,1275,78,ASKED ABOUT THE CONTROL OF LEAF EATING CATERPILLAR,RECOMMENDED TO SPRAY QUINOLPHOS 4ML/LIT,2009-11-03T00:00:00,2009,11,,
ANDHRA PRADESH,KRISHNA,0,KHARIF,HORTICULTURE,0,Brussils Sprouts,85,ASKED ABOUT THE CONTROL OF SHEATH ROT,RECOMMENDED TO SPRAY BENOMIL 0.5 GR/LIT.,2009-11-03T00:00:00,2009,11,,
ANDHRA PRADESH,EAST GODAVARI,0,KHARIF,AGRICULTURE,0,1137,Weather,ASKED ABOUT THE WEATHER REPORT OF VIZAG.,INFORMED AS PER THE PROVIDED INFORMATION.,2009-11-03T12:19:41,2009,11,,
ANDHRA PRADESH,GUNTUR,0,KHARIF,AGRICULTURE,0,1137,Weather,ASKED ABOUT THE WEATHER REPORT OF TENALI,INFORMED AS PER THE PROVIDED INFORMATION,2009-11-12T13:13:45,2009,11,,
ANDHRA PRADESH,KURNOOL,0,KHARIF,AGRICULTURE,0,Pigeon pea (red gram/arhar/tur),26,ASKED ABOUT THYE CONTROL OF FLOWER DROP.,RECOMMENDED TO SPRAY PLANOFIX 2.5ML/10LIT,2009-11-27T09:10:55,2009,11,,
ANDHRA PRADESH,PRAKASAM,0,KHARIF,HORTICULTURE,0,1280,76,ASKED ABOUT THE CONTROL OF GRAM CATERPILLAR.,RECOMMENDED TO SPRAY ENDOSULFON 2ML/LIT,2009-11-27T10:29:45,2009,11,,
ANDHRA PRADESH,CHITTOOR,0,KHARIF,AGRICULTURE,0,Groundnut (pea nut/mung phalli),18,ASKED ABOUT SEED TREATMENT,INFORMMED TO THAT TREATMENT WITH MANCOZEB 3GM/1KG SEEDS,2009-11-27T14:44:52,2009,11,,
ANDHRA PRADESH,PRAKASAM,0,KHARIF,AGRICULTURE,0,2051,5,ASKED ABOUT VARIETIES,"INFORMMED TO THAT VARIETIES ARE C.S.H-5,9,13,",2009-11-13T10:13:09,2009,11,,
ANDHRA PRADESH,GUNTUR,0,KHARIF,AGRICULTURE,0,1137,2,ASKED ABOUT CONTROL OF BLAST,RECOMMENDED FOR THE APPLICATION OF TRICYCHLOZOLE 0.5GM/LIT,2009-11-13T12:11:30,2009,11,,
ANDHRA PRADESH,PRAKASAM,0,KHARIF,AGRICULTURE,0,Black Gram (urd bean),2,ASKED ABOUT THE CONTROL OF ANTHRACNOSE,RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 3 GR/LIT,2009-11-13T15:16:16,2009,11,,
ANDHRA PRADESH,PRAKASAM,0,KHARIF,AGRICULTURE,0,Cotton (Kapas),26,ASKED ABOUT THE CONTROL OF FLOWER DROP,RECOMMENDED TO APPLY N.A.A + DAP [1-2%],2009-11-14T19:50:47,2009,11,,
ANDHRA PRADESH,CHITTOOR,0,NA,AGRICULTURE,0,Others,29,ASKED ABOUT THE WEATHER REPORT,GIVEN THE WEATHER REPORT.,2009-11-15T00:00:00,2009,11,,
ANDHRA PRADESH,GUNTUR,0,KHARIF,AGRICULTURE,0,Others,29,ASKED ABOUT THE CONTROL OF WHITEFLY,RECOMMENDED TO SPRAY TRIAZOPHOS 2.5ML/LIT,2009-11-15T00:00:00,2009,11,,
ANDHRA PRADESH,CHITTOOR,0,KHARIF,AGRICULTURE,0,Others,29,ASKED ABOUT CONTROL OF SUCKING PESTS,RECOMMENDED FOR THE APPLICATION OF IMIDACHLOPRID 0.4ML/LIT,2009-11-15T00:00:00,2009,11,,
ANDHRA PRADESH,ANANTPUR,0,KHARIF,AGRICULTURE,0,Others,29,ASKED ABOUT THE CONTROL OF LEAF EATING CATERPILLARS,RECOMMENDED TO SPRAY ENDOSULPHON 2 ML/LIT,2009-11-15T00:00:00,2009,11,,
ANDHRA PRADESH,NELLORE,0,KHARIF,AGRICULTURE,0,Others,Weather,ASKED ABOUT WEATHER REPORT,INFORMMED AS PER THE PROVIDED DATA,2009-11-15T11:43:27,2009,11,,
ANDHRA PRADESH,KRISHNA,0,KHARIF,AGRICULTURE,0,Black Gram (urd bean),2,ASKED ABOUT CONTROL OF POWDERY MILDEW,RECOMMED FOR THE APPLICATION OF CARBENDAZIM 1GM/LIT,2009-11-11T13:06:49,2009,11,,
ANDHRA PRADESH,ANANTPUR,0,KHARIF,AGRICULTURE,0,1137,3,ASKED ABOUT THE CONTROL OF STEMBORER.,RECOMMENDED TO SPRAY PHOSPOMIDAN 1ML/LIT,2009-11-11T13:22:24,2009,11,,
ANDHRA PRADESH,CHITTOOR,0,KHARIF,HORTICULTURE,0,2113,Soil Testing,ASKED ABOUT THE SEED TREATMENT OF CHILLI,RECOMMENDED TO APPLY TRISODIUMORTHIOPHOSPATE 150GR +IMIDACLOPRID 8 GR+ CAPTAN 3GR/1 KG SEED,2009-11-22T00:00:00,2009,11,,
ANDHRA PRADESH,SRIKAKULAM,0,KHARIF,HORTICULTURE,0,1275,91,ASKED ABOUT THE PHONE NUMBER OF JD ANIMAL HUSBANDRY,PROVIDED HIM WITH THE CONTACT NO.,2009-11-22T00:00:00,2009,11,,
ANDHRA PRADESH,PRAKASAM,0,KHARIF,HORTICULTURE,0,Lemon,75,ASKED ABOUT THE CONTROL OF FLOWER DROP,RECOMMENDED FOR THE APPLICATION OF PLANOPHIX 2.5ML/10 LTR,2009-11-22T09:54:37,2009,11,,
ANDHRA PRADESH,SRIKAKULAM,0,KHARIF,ANIMAL HUSBANDRY,0,964,31,ASKED ABOUT THE PHONE NUMBER OF JD ANIMAL HUSBANDRY,PROVIDED HIM WITH THE CONTACT NO.,2009-11-22T10:03:10,2009,11,,
ANDHRA PRADESH,KRISHNA,0,KHARIF,AGRICULTURE,0,1137,2,ASKED ABOUT THE CONTROL OF RICE BLAST,RECOMMENDED FOR THE APPLICATION OF TRICYCLOZOLE 0.6GM/LTR,2009-11-22T10:51:48,2009,11,,
ANDHRA PRADESH,EAST GODAVARI,0,KHARIF,AGRICULTURE,0,"Castor (Rehri, Rendi, Arandi) ",3,ASKED ABOUT THE CONTROL OF TOBBACO CATERPILLAR,RECOMMENDED TO SPRAY NIVALURAN OR LUFENURON 1 ML/LIT OR THIODICARB 1.5 GR/LIT,2009-11-22T15:50:37,2009,11,,
ANDHRA PRADESH,WEST GODAVARI,0,KHARIF,AGRICULTURE,0,1037,3,ASKED ABOUT THE CONTROL OF GRAMCATERPILLAR,RECOMMENDED TO SPRAY QUINOLPHOS 2 ML/LIT,2009-11-25T08:12:13,2009,11,,
ANDHRA PRADESH,EAST GODAVARI,0,KHARIF,AGRICULTURE,0,1137,2,ASKED ABOUT THE CONTROL OF RICE BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE 1 GR/2 LIT,2009-11-25T09:52:08,2009,11,,
ANDHRA PRADESH,PRAKASAM,0,KHARIF,AGRICULTURE,0,1137,5,ASKED ABOUT THE VARIETIES.,"RECOMMENDED VARIETIES ARE NLR-145,34449,MTU-1010",2009-11-25T15:35:03,2009,11,,
ANDHRA PRADESH,WEST GODAVARI,0,KHARIF,AGRICULTURE,0,Sunflower (suryamukhi),2,ASKED ABOUT THE CONTROL OF ALTERNERIA BLIGHT.,RECOMMENDED TO SPRAY ZINEB 2GM/LIT,2009-11-25T18:37:10,2009,11,,
