StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,ANANTPUR,GUNTAKAL,NA,AGRICULTURE,Pulses,Pigeon pea (red gram/arhar/tur),Weather,Farmer asked query on Weather," DRY AND CLOUDY WEATHER IN YOUR AREA  AND NO CHANCE OF RAIN.
 ఈ రోజు మీ ప్రాంతOలో  ఎండ & మాబులతో కూడుకున్న వాతావరణం ఉంటుంది కానీ వర్షం లేదు. 
",2023-05-26T10:57:52.23,2023,5
ANDHRA PRADESH,GUNTUR,KARLAPALEM,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది,2023-05-26T11:11:20.24,2023,5
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"     TODAY DRY  WEATHER IN YOUR AREA AND NO CHANCE OF RAIN
ఈరోజు మీ ప్రాంతంలో పొడి వాతావరణం ఉంటుంది వర్షం పడే అవకాశం లేదు   
",2023-05-26T11:22:05.65,2023,5
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"     TODAY DRY  WEATHER IN YOUR AREA AND NO CHANCE OF RAIN
ఈరోజు మీ ప్రాంతంలో పొడి వాతావరణం ఉంటుంది వర్షం పడే అవకాశం లేదు   
",2023-05-26T11:22:09.61,2023,5
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"     TODAY DRY  WEATHER IN YOUR AREA AND NO CHANCE OF RAIN
ఈరోజు మీ ప్రాంతంలో పొడి వాతావరణం ఉంటుంది వర్షం పడే అవకాశం లేదు   
",2023-05-26T11:23:49.89,2023,5
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"     TODAY DRY  WEATHER IN YOUR AREA AND NO CHANCE OF RAIN
ఈరోజు మీ ప్రాంతంలో పొడి వాతావరణం ఉంటుంది వర్షం పడే అవకాశం లేదు   
",2023-05-26T11:23:51.277,2023,5
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,NA,AGRICULTURE,Others,Others,Government Schemes,asked about land issues ,suggested to contact revenue department ,2023-05-27T13:09:06.73,2023,5
ANDHRA PRADESH,SRIKAKULAM,GANGUVARISIGADAM,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"WEATHER REPORT
 THERE IS A CHANCE OF CLOUDY WEATHER BUT NO CHANCE OF SHOWERS IN YOUR AREA. 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు అవకాశం లేదు .
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది .
",2023-05-27T13:17:03.003,2023,5
ANDHRA PRADESH,KRISHNA,MUSUNURU,NA,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Farmer asked query on Paddy varieties ,  Paddy varieties  BPT -5204 is variety,2023-05-27T13:20:58.97,2023,5
ANDHRA PRADESH,KRISHNA,MUSUNURU,NA,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Farmer asked query on Paddy varieties ,  Paddy varieties  BPT -5204 is variety,2023-05-27T13:20:59.313,2023,5
