StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,PRAKASAM,0   ,NA,AGRICULTURE,Others,Others,29,asked about mulbery neem,given him reaserch station phone number,2012-11-30T16:16:00,2012,11
ANDHRA PRADESH,ANANTPUR,0   ,NA,HORTICULTURE,Vegetables,Beans ,76,asked about spodoptera,suggest to spray chloripyriphos 2.5ml per lit,2012-11-30T16:16:00,2012,11
ANDHRA PRADESH,Y S R ,0   ,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),21,asked about herbicide in groundnut,suggest to spray imazithapyre,2012-11-30T16:16:00,2012,11
ANDHRA PRADESH,VIZIANAGARM,BALIJIPETA,NA,AGRICULTURE,Pulses,Black Gram (urd bean),19,asked about seed rate in blackgram during november,suggest him 16kgs per acre,2012-11-30T16:16:00,2012,11
ANDHRA PRADESH,GUNTUR,0   ,NA,AGRICULTURE,Millets,2051,29,asked  about jowar  crop duration,suggest him 110-120 days,2012-11-30T16:16:00,2012,11
ANDHRA PRADESH,0   ,0   ,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),3,asked about spod0ptera in cotton,suggest to spray profinophos 2ml per lit,2012-11-30T16:16:00,2012,11
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,NA,HORTICULTURE,Vegetables,1280,75,asked about chilli wilt,suggest to spray mancozeb,2012-11-30T16:16:00,2012,11
ANDHRA PRADESH,NELLORE,0   ,NA,AGRICULTURE,Cereals,1137,0,asked about leaf folder in rice crop,recomended chloripyriphos,2012-11-30T16:24:00,2012,11
ANDHRA PRADESH,GUNTUR,0   ,NA,HORTICULTURE,Vegetables,1280,75,control of bacterial blight in chilli,spraying of streptocycline 1ml and 30 grams coc /10litre water,2012-11-30T07:31:00,2012,11
ANDHRA PRADESH,NELLORE,0   ,NA,AGRICULTURE,Pulses,1808,0,weed management,mannual weeding,2012-11-30T07:32:00,2012,11
ANDHRA PRADESH,GUNTUR,0   ,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),0,asked about whitefly damage in cotton,sugested to spray trizophos 1.5ml per litre water,2012-11-30T07:38:00,2012,11
ANDHRA PRADESH,SRIKAKULAM,BHAMINI,NA,AGRICULTURE,Pulses,Black Gram (urd bean),22,weedicide in black gram,quizalopop ethyl@ 2 ml/lit,2012-11-30T08:06:00,2012,11
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,NA,AGRICULTURE,Cereals,1137,1,sowing season of dalwa,NOV- MAR,2012-11-30T08:06:00,2012,11
ANDHRA PRADESH,KRISHNA,TIRUVURU,NA,HORTICULTURE,Vegetables,1280,76,thrips in chilli,spraying of carboryl@ 3 gm/lt,2012-11-30T08:06:00,2012,11
ANDHRA PRADESH,NELLORE,VINJAMUR,NA,HORTICULTURE,Vegetables,1280,76,THRIPS DAMAGE,spraying of carboryl@ 3 gm/lt,2012-11-30T08:06:00,2012,11
ANDHRA PRADESH,KURNOOL,BETHAMCHERLA,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),18,seed treatment in ground nut,with mancozeb @ 3 gm/ 1 kg seed,2012-11-30T08:06:00,2012,11
ANDHRA PRADESH,PRAKASAM,INKOLLU,NA,HORTICULTURE,Vegetables,1280,76,thrips damage,spraying of carboryl@ 3 gm/lt,2012-11-30T08:06:00,2012,11
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,NA,HORTICULTURE,Vegetables,Tomato,76,fruit borer in tomato,spraying of flubendimide@ 0.3 ml/ 2 lits of water,2012-11-30T08:06:00,2012,11
ANDHRA PRADESH,WEST GODAVARI,CHINTALAPUDI,NA,AGRICULTURE,Cereals,1075,29,zinc defeciency,spraying of zinc sulphate @ 2 gm/lt,2012-11-30T08:06:00,2012,11
ANDHRA PRADESH,CHITTOOR,0   ,NA,HORTICULTURE,Vegetables,1275,76,control of caterpillar in bottle gourd,spraying of prophinophas 2ml/litre water,2012-11-30T08:46:00,2012,11
ANDHRA PRADESH,KURNOOL,ASPARI,NA,AGRICULTURE,Cereals,1137,2,control of sheath blight in rice,spraying of hexaconazole 400ml/acre,2012-11-30T08:46:00,2012,11
ANDHRA PRADESH,WEST GODAVARI,ELAMANCHILI,NA,AGRICULTURE,Cereals,1075,29,control of yellowing of leaves  in maize,spraying of zinc sulphate 2 grm/lit water,2012-11-30T08:46:00,2012,11
ANDHRA PRADESH,ANANTPUR,0   ,NA,AGRICULTURE,Cereals,1137,3,control of bph in rice,spraying of bhuprophezin 300 ml/acre,2012-11-30T08:46:00,2012,11
ANDHRA PRADESH,NELLORE,KALIGIRI,NA,HORTICULTURE,Fruits,8101,75,control of root rot in citrus,spraying of carbendazim 1 grm/lit water,2012-11-30T08:46:00,2012,11
ANDHRA PRADESH,9999,0   ,NA,AGRICULTURE,Cereals,1075,0,asked about weedmanagement in maize,suggested to spray ethoxysulfuron 60ml per acre,2012-11-30T08:58:00,2012,11
ANDHRA PRADESH,KURNOOL,0   ,NA,AGRICULTURE,Cereals,1137,0,asked about rice blight,sugested to spray  hexaconazole 2ml per litre water,2012-11-30T08:58:00,2012,11
ANDHRA PRADESH,PRAKASAM,HANUMANTHUNI PADU,NA,HORTICULTURE,Fruits,Lemon,76,mite attack in lemon,spraying of dicofol@ 2.6 ml/lt,2012-11-29T06:35:00,2012,11
ANDHRA PRADESH,NELLORE,KALIGIRI,NA,HORTICULTURE,Vegetables,1280,76,thrips damage in chilli,spraying of pegasus@1.5 gm/lt,2012-11-29T06:35:00,2012,11
ANDHRA PRADESH,KRISHNA,0   ,NA,AGRICULTURE,Cereals,1137,5,VARITIES SUITABLE FOR AREA,"RNR 10754,MTU 1010,",2012-11-29T06:35:00,2012,11
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,NA,AGRICULTURE,Others,Others,Weather,asked weather report,provided weather forecast data,2012-11-29T06:35:00,2012,11
ANDHRA PRADESH,KURNOOL,KALLUR,NA,AGRICULTURE,Pulses,7557,26,flower drop in bengal gram.,spraying of planofix@ 2.5 ml/10 lits of water,2012-11-29T06:35:00,2012,11
ANDHRA PRADESH,ANANTPUR,0   ,NA,AGRICULTURE,Cereals,1137,0,stem disease,coc 2ml/lt,2012-11-28T11:07:00,2012,11
ANDHRA PRADESH,GUNTUR,0   ,NA,HORTICULTURE,Fruits,8108,0,asked about gummosis in guava,"suggested to apply coc, after removal of gum",2012-11-28T11:10:00,2012,11
ANDHRA PRADESH,KRISHNA,0   ,NA,AGRICULTURE,Others,Others,0,asked about mushroom cultivation,provided data,2012-11-28T11:10:00,2012,11
ANDHRA PRADESH,WEST GODAVARI,LINGAPALEM,NA,HORTICULTURE,Vegetables,1280,76,thrips damage in chili,spraying of carboryl@ 3 gm/lt,2012-11-28T11:33:00,2012,11
ANDHRA PRADESH,KURNOOL,BETHAMCHERLA,NA,AGRICULTURE,Others,Others,0,farm loans,informed phone number,2012-11-30T12:33:00,2012,11
ANDHRA PRADESH,NELLORE,0   ,NA,AGRICULTURE,Others,Others,0,asked about weather data,information given as per the data,2012-11-30T12:44:00,2012,11
ANDHRA PRADESH,ANANTPUR,0   ,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),3,control of ground nut leaf minor,spraying of monocrotophas 1.6 ml/lit water,2012-11-30T13:28:00,2012,11
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,NA,AGRICULTURE,Cereals,1075,22,weed,quizalphosithyl,2012-11-30T20:14:00,2012,11
ANDHRA PRADESH,PRAKASAM,0   ,NA,HORTICULTURE,Vegetables,1280,102,asked about goodgrowth of chilli,suggest to spray 19;19;19,2012-11-30T20:33:00,2012,11
ANDHRA PRADESH,NELLORE,0   ,NA,HORTICULTURE,Vegetables,Watermelon,102,asked about leaf folding in water melon,suggest to spray pegasas 300g per acre,2012-11-30T20:33:00,2012,11
ANDHRA PRADESH,VISAKHAPATNAM,ANANDAPURAM,NA,HORTICULTURE,Vegetables,Brinjal,75,asked about disese in brinjal crop,suggested mancozeb,2012-11-30T20:33:00,2012,11
ANDHRA PRADESH,NELLORE,0   ,NA,AGRICULTURE,Others,Others,0,asked about weather report in nellore,given information as for the data,2012-11-30T15:25:00,2012,11
ANDHRA PRADESH,KRISHNA,GAMPALAGUDEM,NA,AGRICULTURE,Others,Others,29,asked about rot in oil palmoil palm,NA,2012-11-30T15:27:00,2012,11
ANDHRA PRADESH,NELLORE,BALAYAPALLE,NA,AGRICULTURE,Cereals,1137,3,leaf folder,cartop hydrochloride 4g granules,2012-11-30T15:40:00,2012,11
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,NA,AGRICULTURE,Pulses,1037,29,asked about rot in pulses,suggested to spray carbendazim @ 1 g/lt of water,2012-11-30T15:40:00,2012,11
ANDHRA PRADESH,NELLORE,0   ,NA,AGRICULTURE,Others,Others,0,asked about weather report in nellore,given information as for the  data,2012-11-30T15:48:00,2012,11
ANDHRA PRADESH,GUNTUR,0   ,NA,AGRICULTURE,Cereals,1137,5,varieties in dalwa,mtu 1010,2012-11-30T15:49:00,2012,11
ANDHRA PRADESH,WEST GODAVARI,TADEPALLIGUDEM,NA,HORTICULTURE,Plantation Crops,Coconut,Market Information,market rate,given,2012-11-30T15:54:00,2012,11
ANDHRA PRADESH,WEST GODAVARI,0   ,NA,ANIMAL HUSBANDRY,Animal,Others,0,asked about veternery toll free number,given information,2012-11-30T18:27:00,2012,11
ANDHRA PRADESH,VISAKHAPATNAM,0   ,NA,HORTICULTURE,Vegetables,1280,0,asked about chilli plants are wilted,recomended coc,2012-11-30T18:29:00,2012,11
ANDHRA PRADESH,KURNOOL,0   ,NA,AGRICULTURE,Millets,2051,3,sorghum shoot fly,thaoidicarb 1.5gms,2012-11-30T18:30:00,2012,11
ANDHRA PRADESH,EAST GODAVARI,0   ,NA,AGRICULTURE,Cereals,1137,3,asked about leaf folding in rice,suggest to spray chloripyriphos 2.5ml per lit,2012-11-30T19:21:00,2012,11
ANDHRA PRADESH,KURNOOL,0   ,NA,AGRICULTURE,Pulses,1066,29,asked about urea spray in redgram,suggest to spray urea 2g per lit,2012-11-30T19:21:00,2012,11
ANDHRA PRADESH,NELLORE,0   ,NA,AGRICULTURE,Cereals,1137,3,asked about leaf folder in rice,suggest to spray chloripyriphos 2.5ml per lit,2012-11-30T19:21:00,2012,11
ANDHRA PRADESH,PRAKASAM,0   ,NA,HORTICULTURE,Fruits,Citrus,76,asked about  aphid  in citrus,suggest to spray dimethoate 2ml per lit,2012-11-30T19:21:00,2012,11
ANDHRA PRADESH,KURNOOL,KODUMUR,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),29,asked about reddening of leaves in cotton,suggest to spray urea 2g per lit,2012-11-30T19:21:00,2012,11
ANDHRA PRADESH,ANANTPUR,0   ,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),5,asked about varieties and sowing season of ground nut,suggested to sow from december,2012-11-30T14:30:00,2012,11
ANDHRA PRADESH,PRAKASAM,0   ,NA,AGRICULTURE,Others,Others,0,asked about weather report,given information,2012-11-30T14:33:00,2012,11
ANDHRA PRADESH,GUNTUR,0   ,NA,AGRICULTURE,Others,Others,29,kisan kredit card,bank,2012-11-30T14:41:00,2012,11
ANDHRA PRADESH,KURNOOL,0   ,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),26,asked about control of flower drop in groundnut,suggested to spray planofix@2ml per liter water,2012-11-30T14:47:00,2012,11
ANDHRA PRADESH,EAST GODAVARI,0   ,NA,HORTICULTURE,Plantation Crops,Coconut,94,asked about herbicide in coconut,suggested to spray glyphosate @ 1 lt /acre,2012-11-30T15:11:00,2012,11
ANDHRA PRADESH,ANANTPUR,0   ,NA,AGRICULTURE,Cereals,1075,0,asked about maize rust,suggested to spray mancozeb,2012-11-30T09:41:00,2012,11
ANDHRA PRADESH,KURNOOL,0   ,NA,AGRICULTURE,Others,Others,Weather,ASKED ABOUT WEATHER DATA,TOLD AS PER AP AGRIS NET,2012-11-30T11:36:00,2012,11
ANDHRA PRADESH,KURNOOL,0   ,NA,HORTICULTURE,Flowers,Marigold,0,spodoptera damage,prophenophos 2ml/lt,2012-11-30T11:41:00,2012,11
ANDHRA PRADESH,CHITTOOR,CHITTOOR,NA,HORTICULTURE,Vegetables,2108,76,control of sucking pest in tomato,spraying of dimethioate 2 ml/lit water,2012-11-29T19:07:00,2012,11
ANDHRA PRADESH,NELLORE,DAKKILI,NA,AGRICULTURE,Pulses,Black Gram (urd bean),2,anthracnose disease in blackgram,spraying of mancozeb@ 2.5 gm/lt,2012-11-30T06:46:00,2012,11
ANDHRA PRADESH,PRAKASAM,TARLUPADU,NA,HORTICULTURE,Vegetables,1280,76,thrips damage in chilli,spraying of carboryl@ 3 gm/lt,2012-11-30T06:46:00,2012,11
ANDHRA PRADESH,Y S R ,PEDDAMUDIUM,NA,AGRICULTURE,Cereals,1137,3,yellow stem borer in rice,spraying of cartap hydrochloride @ 2 gm/lt,2012-11-30T06:46:00,2012,11
ANDHRA PRADESH,KURNOOL,0   ,NA,AGRICULTURE,Others,Others,0,asked cotton picking implements,given 24015011 -040,2012-11-30T07:06:00,2012,11
ANDHRA PRADESH,WEST GODAVARI,0   ,NA,AGRICULTURE,Sugar and Starch Crops,Sunnhemp (Patua),0,jagaru prepration mechenary,cosult AO,2012-11-01T16:55:00,2012,11
ANDHRA PRADESH,PRAKASAM,0   ,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),3,control of sucking pest in cotton,spraying of phaspomidan 2 ml/litre water,2012-11-02T14:10:00,2012,11
ANDHRA PRADESH,VIZIANAGARM,MENTADA,NA,HORTICULTURE,Condiments and Spices,Saffron,76,asked about control of leaf spot in turmeric,suggested to spray mancozeb@2gm per liter water,2012-11-03T06:53:00,2012,11
ANDHRA PRADESH,GUNTUR,MACHAVARAM,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),2,asked about control of root rot in groundnut,suggested to spray 1gm carbendizam or 3gm mancozeb per liter water,2012-11-03T06:53:00,2012,11
ANDHRA PRADESH,KRISHNA,KANKIPADU,NA,AGRICULTURE,Cereals,1137,0,asked about control of stem borer in rice,NA,2012-11-03T08:40:00,2012,11
ANDHRA PRADESH,KURNOOL,ADONI,NA,AGRICULTURE,Others,Others,0,asked about general information,given information,2012-11-03T08:58:00,2012,11
ANDHRA PRADESH,KURNOOL,0   ,NA,HORTICULTURE,Vegetables,1280,0,asked about chilli wilt,sugested to drench with coc 3g per litre,2012-11-03T08:58:00,2012,11
ANDHRA PRADESH,PRAKASAM,KONDAPI,NA,HORTICULTURE,Vegetables,Tomato,76,asked about control of sucking pest in tomato,suggested to spray acephate 1.5gm/lit water,2012-11-03T09:26:00,2012,11
ANDHRA PRADESH,ANANTPUR,TADIPATRI,NA,AGRICULTURE,Cereals,1137,0,asked about rice bph,recommended to spray ethofenprox 300ml per acre,2012-11-03T09:33:00,2012,11
